x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,label
1021.179951,293.6502009,1025.190687,277.3753583,1002.075845,284.1590062,1050.622047,284.1794061,976.350971,292.3288716,1089.224482,376.1409501,964.3848096,369.0011122,1132.937576,460.5620934,924.3122561,470.6494236,1144.642026,544.8722317,920.1084858,538.3590615,1065.5255,564.3146856,982.6114592,561.3129761,1058.873387,728.1185616,970.6436413,721.7909924,1052.917738,843.7458712,1006.815911,843.8312076,j
1031.304761,367.6069813,1037.168015,353.6513522,1026.523343,347.0571935,1061.244273,356.5418644,1004.524571,350.7744483,1075.579549,425.6015124,975.2562533,427.2276413,1116.717213,497.8795366,941.7576795,511.1234518,1117.271129,537.0313484,948.3918783,564.5720877,1056.148103,620.6537875,989.3622871,621.8833549,1047.319265,792.8561449,1002.933021,783.8307445,1032.831604,952.4555417,1004.520866,942.0540859,j
1006.295884,314.3380987,1010.241964,300.929291,991.1473802,303.5714824,1032.750143,315.2979632,957.8594825,310.2423651,1047.485843,403.3281046,933.9906946,399.7182497,1097.004159,493.4664561,898.7541917,487.752454,1116.38773,577.2946618,901.0858724,561.1499213,1024.486494,606.6528843,959.8189402,601.3999161,1037.867948,745.0888014,974.1847817,745.1537362,1020.072694,905.2800697,975.2039168,898.4307026,j
990.6470035,267.9110498,999.1836512,255.4604176,976.1361213,255.2854878,1019.655936,273.2707125,944.9030325,265.4560062,1041.762797,351.1201685,921.7836266,347.7093767,1084.609978,428.4129233,894.1473579,438.3610487,1080.592356,464.3283164,884.8230645,545.052603,1030.470512,551.2645914,956.7550766,551.4433473,1027.01813,739.097708,964.783479,723.3620016,1011.918295,849.3833146,970.7561042,848.8721404,j
1012.914802,312.6369616,1015.486336,297.4564109,1013.488257,294.0393501,1028.173304,295.7337585,974.6402387,299.6068696,1056.546592,375.546178,948.0972807,385.3042531,1095.2756,464.5317238,914.9593463,486.7948943,1108.311839,526.4837661,920.6782716,568.9490245,1052.970534,587.5944656,982.1982358,592.8180727,1054.291907,742.9880829,991.5340533,746.1647954,1033.68904,912.0469078,993.5159207,900.0129403,j
1014.052873,263.1594326,1024.367863,244.8225136,1007.071525,248.1914119,1052.141883,251.7249449,977.62712,252.8882026,1089.961055,338.7212992,946.5056978,341.1910037,1122.762547,421.1023826,919.6378442,435.0871621,1123.140963,545.1722441,932.8047893,573.4344637,1070.050659,552.807784,978.8616409,553.1838021,1082.957365,716.5569617,1002.209426,720.5375927,1056.500096,874.6288136,1011.113268,867.7213647,j
999.897848,313.6448753,1000.115758,298.0888259,984.0663177,301.6286737,1017.340642,303.1773515,948.4029483,304.944993,1036.281093,385.6634925,935.0189013,387.1091138,1088.587376,470.1088777,897.5211296,476.8405044,1103.737273,551.0293704,914.7858414,570.6477196,1028.25131,583.9755427,973.3233702,586.8001726,1045.171826,733.7233701,979.6986609,740.6490887,1019.88163,904.7257625,976.4467006,899.1770781,j
1024.727911,309.5594494,1028.990532,293.5486836,1018.202838,298.7521569,1044.822504,302.6419697,991.7024819,305.9004197,1074.840965,389.2012843,966.4761786,382.9585011,1127.303217,474.944002,930.3924032,493.0085463,1138.972956,562.426927,931.2574109,577.1214989,1062.767406,594.3536508,992.1992178,587.8303439,1067.108683,749.1543858,997.3151418,750.9281844,1054.914697,899.323761,1015.14053,899.6909231,j
1082.823009,264.1452098,1085.026635,246.6137197,1071.609164,250.1622502,1090.775447,252.8905288,1059.602872,258.024539,1122.883564,313.5913329,1020.789908,319.9205551,1145.072827,406.1631232,1008.816459,410.6334334,1146.343393,437.4796363,973.6593901,474.4989738,1107.107055,520.4452087,1028.087305,522.6611928,1098.234533,693.7298228,1034.608108,693.306126,1080.509683,840.2731478,1028.422535,843.4872543,j
1071.685627,263.1157367,1077.796626,245.7183624,1060.672202,246.3187417,1088.30938,251.5712824,1054.536287,251.5076123,1121.755777,307.7858075,1018.300945,309.7118588,1139.232838,385.6057751,1004.223383,400.2752662,1145.983431,415.4579007,1000.54364,448.6928799,1106.263273,496.5478005,1032.837653,497.3457877,1106.776774,643.7418579,1031.63823,644.7926393,1086.900103,741.0624261,1011.770912,743.9955371,j
